# SCF v2.3.1 accepted merges by witness frame type (pes2o, v23d)

# scale 100000

## empty_frame accepted merges (first 20 in candidate order)
a <=> cancel each other | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
a <=> one by one | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary

## internal_frame accepted merges (first 20 in candidate order)
and <=> woo krishnan wager | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> and a error | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> discussed in section | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> fdr <num> e | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> g cm <num> | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> lg ml and | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> for muse spectra | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
and <=> m see § | L=[<num> × <num> <num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
to <=> g and g | L=[<num>] R=[<num> t m] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
chen <=> franklin | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> weller | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> gradin | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> yendiki | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> pallero | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> owers | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> yoon | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> song | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> zenteno | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> morganson | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
chen <=> menanteau | L=[<num>] R=[et al] | induced_unions=3 | pair_witnesses=1 | witness_types=internal_frame
