# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus v23_baseline_condition_d (v23_condition_d)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 100000

## empty_frame (186 accepted merges)
in <num> <=> <num> without | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> and <num> μm | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> deciduous trees <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> for dirty snow | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> <num> african americans | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> white <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> hispanic white <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> native <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> english <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> irish <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> german <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> black <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> other race <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> french incl | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> hindu | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> in april <num> | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0
in <num> <=> bc from vulci | L=[<num>] R=[] | witness_types=right_boundary | induced_unions=0

## internal_frame (50 accepted merges)
to <=> jewish | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> open ocean | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> worn asphalt | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> conifer forest summer | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> bare soil | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> green grass | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> desert sand | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> new concrete | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> ocean ice | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> fresh snow | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> w m− | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> to the <num> | L=[according] R=[u] | witness_types=internal_frame | induced_unions=0
to <=> in spanish and | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> were undocumented <num> | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> asian | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> and scots irish | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> mormon | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> buddhist and | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> billion in march | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> million travellers spent | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0

## mixed (0 accepted merges)
