corpus,preprocess,nominal_tokens,actual_tokens,sentences,documents,paragraphs,initial_objects,local_witnesses,merge_candidates,accepted_merges,rejected_merges,redundant_candidates,induced_unions,resulting_classes,largest_class,largest_class_ratio,median_class_size,p95_class_size,accepted_merge_rate,rejected_merge_rate,objects_with_empty_frame,empty_frame_witnesses,empty_frame_witness_share,empty_frame_candidates_only,empty_frame_candidate_share,empty_frame_candidates_any,empty_frame_accepted_only,empty_frame_accepted_share,empty_frame_accepted_any,mixed_candidates,largest_class_complete_sentence_members,largest_class_single_token_members,largest_class_num_members,common_objects_prev,changed_pairs_prev,changed_pair_share_prev,runtime_seconds,peak_rss_mb
v23_baseline_condition_d,v23_condition_d,40000,35308,1753,5,5,57396,4967,4953,147,2800,2006,40,57209,53,0.000923,1,1,0.029679,0.565314,73,2628,0.529092,2626,0.530184,2628,58,0.394558,58,7,53,9,26,0,0,0.000000,0.632985,62.800781
v23_baseline_condition_d,v23_condition_d,80000,70043,3387,8,8,109959,9971,9955,217,5672,4066,40,109702,83,0.000755,1,1,0.021798,0.569764,120,7140,0.716077,7136,0.716826,7140,98,0.451613,98,9,83,9,29,57396,533,0.000000,2.255108,124.175781
