grammar,L,k,coverage,seed,corpus_max_len,accepted_count,retained_count,num_learned_classes,oracle_num_classes,ARI_vs_oracle,NMI_vs_oracle,pairwise_precision_vs_oracle,pairwise_recall_vs_oracle,matches_oracle,partition_hash
simple_np_vp,6,3,0.200000,3,10,4,1,7,7,0.571123,0.531098,0.999078,1.000000,0,a70858778d544351
simple_np_vp,6,4,0.200000,3,10,4,1,7,7,0.571123,0.531098,0.999078,1.000000,0,a70858778d544351
simple_np_vp,6,0,0.400000,1,10,4,2,2,2,0.666553,0.603310,0.999795,1.000000,0,8603b1b574214c71
simple_np_vp,6,1,0.400000,1,10,4,2,5,4,0.749821,0.699816,0.999590,1.000000,0,d3cb4e8b74ceb4c5
simple_np_vp,6,2,0.400000,1,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,3,0.400000,1,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,4,0.400000,1,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,0,0.400000,2,10,4,2,2,2,0.666553,0.603310,0.999795,1.000000,0,8603b1b574214c71
simple_np_vp,6,1,0.400000,2,10,4,2,5,4,0.749821,0.699816,0.999590,1.000000,0,d3cb4e8b74ceb4c5
simple_np_vp,6,2,0.400000,2,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,3,0.400000,2,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,4,0.400000,2,10,4,2,10,7,0.845981,0.809518,0.999590,1.000000,0,44de3973badb4969
simple_np_vp,6,0,0.400000,3,10,4,2,2,2,0.666553,0.603310,0.999795,1.000000,0,42fdcf75c4c74ce1
simple_np_vp,6,1,0.400000,3,10,4,2,4,4,0.749824,0.705978,0.999590,1.000000,0,86870e00a1df2337
simple_np_vp,6,2,0.400000,3,10,4,2,7,7,0.799793,0.766893,0.999488,1.000000,0,7917e415abc03a26
simple_np_vp,6,3,0.400000,3,10,4,2,7,7,0.799793,0.766893,0.999488,1.000000,0,7917e415abc03a26
simple_np_vp,6,4,0.400000,3,10,4,2,7,7,0.799793,0.766893,0.999488,1.000000,0,7917e415abc03a26
simple_np_vp,6,0,0.800000,1,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,0.800000,1,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,0.800000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,0.800000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,0.800000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,0,0.800000,2,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,0.800000,2,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,0.800000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,0.800000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,0.800000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,0,0.800000,3,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,0.800000,3,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,0.800000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,0.800000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,0.800000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,0,1.000000,1,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,1.000000,1,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,1.000000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,1.000000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,1.000000,1,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,0,1.000000,2,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,1.000000,2,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,1.000000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,1.000000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,1.000000,2,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,0,1.000000,3,10,4,4,2,2,1.000000,1.000000,1.000000,1.000000,1,f6623caf09089691
simple_np_vp,6,1,1.000000,3,10,4,4,4,4,1.000000,1.000000,1.000000,1.000000,1,f487a452107909a7
simple_np_vp,6,2,1.000000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,3,1.000000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
simple_np_vp,6,4,1.000000,3,10,4,4,7,7,1.000000,1.000000,1.000000,1.000000,1,7bfac1e99e559577
transitive,6,0,0.050000,1,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,4e03c12ddb702b40
transitive,6,1,0.050000,1,10,10,1,4,5,0.206771,0.190474,0.999179,1.000000,0,763cf5daf4bf5827
transitive,6,2,0.050000,1,10,10,1,7,10,0.249782,0.239640,0.998714,1.000000,0,7358638383fad982
transitive,6,3,0.050000,1,10,10,1,7,12,0.221993,0.212162,0.998500,1.000000,0,7358638383fad982
transitive,6,4,0.050000,1,10,10,1,7,13,0.214054,0.204029,0.998429,1.000000,0,7358638383fad982
transitive,6,0,0.050000,2,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,7a8525915dbbff50
transitive,6,1,0.050000,2,10,10,1,4,5,0.206769,0.184584,0.999179,1.000000,0,d004afd2d1c43e37
transitive,6,2,0.050000,2,10,10,1,7,10,0.249777,0.223714,0.998714,1.000000,0,6f996e34318a2b43
transitive,6,3,0.050000,2,10,10,1,10,12,0.315502,0.288876,0.998607,1.000000,0,11c7f8dbf8321338
transitive,6,4,0.050000,2,10,10,1,13,13,0.386771,0.363674,0.998643,1.000000,0,f2a188887542e433
transitive,6,0,0.050000,3,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,4e03c12ddb702b40
transitive,6,1,0.050000,3,10,10,1,4,5,0.206771,0.190474,0.999179,1.000000,0,763cf5daf4bf5827
transitive,6,2,0.050000,3,10,10,1,7,10,0.249782,0.239640,0.998714,1.000000,0,7358638383fad982
transitive,6,3,0.050000,3,10,10,1,7,12,0.221993,0.212162,0.998500,1.000000,0,7358638383fad982
transitive,6,4,0.050000,3,10,10,1,7,13,0.214054,0.204029,0.998429,1.000000,0,7358638383fad982
transitive,6,0,0.100000,1,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,4e03c12ddb702b40
transitive,6,1,0.100000,1,10,10,1,4,5,0.206771,0.190474,0.999179,1.000000,0,763cf5daf4bf5827
transitive,6,2,0.100000,1,10,10,1,7,10,0.249782,0.239640,0.998714,1.000000,0,7358638383fad982
transitive,6,3,0.100000,1,10,10,1,7,12,0.221993,0.212162,0.998500,1.000000,0,7358638383fad982
transitive,6,4,0.100000,1,10,10,1,7,13,0.214054,0.204029,0.998429,1.000000,0,7358638383fad982
transitive,6,0,0.100000,2,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,7a8525915dbbff50
transitive,6,1,0.100000,2,10,10,1,4,5,0.206769,0.184584,0.999179,1.000000,0,d004afd2d1c43e37
transitive,6,2,0.100000,2,10,10,1,7,10,0.249777,0.223714,0.998714,1.000000,0,6f996e34318a2b43
transitive,6,3,0.100000,2,10,10,1,10,12,0.315502,0.288876,0.998607,1.000000,0,11c7f8dbf8321338
transitive,6,4,0.100000,2,10,10,1,13,13,0.386771,0.363674,0.998643,1.000000,0,f2a188887542e433
transitive,6,0,0.100000,3,10,10,1,2,2,0.181762,0.160430,0.999679,1.000000,0,4e03c12ddb702b40
transitive,6,1,0.100000,3,10,10,1,4,5,0.206771,0.190474,0.999179,1.000000,0,763cf5daf4bf5827
transitive,6,2,0.100000,3,10,10,1,7,10,0.249782,0.239640,0.998714,1.000000,0,7358638383fad982
transitive,6,3,0.100000,3,10,10,1,7,12,0.221993,0.212162,0.998500,1.000000,0,7358638383fad982
transitive,6,4,0.100000,3,10,10,1,7,13,0.214054,0.204029,0.998429,1.000000,0,7358638383fad982
transitive,6,0,0.200000,1,10,10,2,2,2,0.333246,0.294245,0.999714,1.000000,0,2b4f2f63d62b9d61
transitive,6,1,0.200000,1,10,10,2,5,5,0.374815,0.338438,0.999286,1.000000,0,b6d7bf3132e45873
transitive,6,2,0.200000,1,10,10,2,10,10,0.444150,0.409889,0.998928,1.000000,0,6e6d9dc3823d7818
transitive,6,3,0.200000,1,10,10,2,12,12,0.451279,0.416259,0.998786,1.000000,0,a0820f156d905742
transitive,6,4,0.200000,1,10,10,2,13,13,0.461191,0.426074,0.998750,1.000000,0,96a7913b46f38e6b
