grammar,L,k,num_learned_classes,composition_triples,labeled_triples,composition_precision,composition_recall,functional_input_pairs,nonfunctional_input_pairs,congruence_violations,witnessable_gold_rules,recovered_gold_rules
recursive_modifier,6,3,8,64,5,0.600000,1.000000,64,0,0,3,3
recursive_modifier,6,4,8,64,5,0.600000,1.000000,64,0,0,3,3
observationally_equivalent_categories,2,0,1,1,1,1.000000,1.000000,1,0,0,2,2
observationally_equivalent_categories,2,1,3,3,2,0.500000,1.000000,0,1,1,2,2
observationally_equivalent_categories,2,2,6,9,1,1.000000,1.000000,9,0,0,2,2
observationally_equivalent_categories,2,3,6,9,1,1.000000,1.000000,9,0,0,2,2
observationally_equivalent_categories,2,4,6,9,1,1.000000,1.000000,9,0,0,2,2
observationally_equivalent_categories,3,0,2,2,2,1.000000,1.000000,0,1,1,3,3
observationally_equivalent_categories,3,1,4,9,5,0.400000,1.000000,2,3,3,3,3
observationally_equivalent_categories,3,2,7,27,2,1.000000,1.000000,27,0,0,3,3
observationally_equivalent_categories,3,3,7,27,2,1.000000,1.000000,27,0,0,3,3
observationally_equivalent_categories,3,4,7,27,2,1.000000,1.000000,27,0,0,3,3
observationally_equivalent_categories,4,0,2,4,4,0.500000,1.000000,2,1,1,3,3
observationally_equivalent_categories,4,1,4,15,8,0.250000,1.000000,8,3,3,3,3
observationally_equivalent_categories,4,2,7,42,2,1.000000,1.000000,42,0,0,3,3
observationally_equivalent_categories,4,3,7,42,2,1.000000,1.000000,42,0,0,3,3
observationally_equivalent_categories,4,4,7,42,2,1.000000,1.000000,42,0,0,3,3
observationally_equivalent_categories,5,0,2,4,4,0.500000,1.000000,2,1,1,3,3
observationally_equivalent_categories,5,1,4,19,10,0.200000,1.000000,12,3,3,3,3
observationally_equivalent_categories,5,2,7,48,2,1.000000,1.000000,48,0,0,3,3
observationally_equivalent_categories,5,3,7,48,2,1.000000,1.000000,48,0,0,3,3
observationally_equivalent_categories,5,4,7,48,2,1.000000,1.000000,48,0,0,3,3
observationally_equivalent_categories,6,0,2,5,5,0.400000,1.000000,3,1,1,3,3
observationally_equivalent_categories,6,1,4,20,11,0.181818,1.000000,13,3,3,3,3
observationally_equivalent_categories,6,2,7,49,2,1.000000,1.000000,49,0,0,3,3
observationally_equivalent_categories,6,3,7,49,2,1.000000,1.000000,49,0,0,3,3
observationally_equivalent_categories,6,4,7,49,2,1.000000,1.000000,49,0,0,3,3
