corpus,preprocess,nominal_tokens,actual_tokens,sentences,documents,paragraphs,initial_objects,local_witnesses,merge_candidates,accepted_merges,rejected_merges,redundant_candidates,induced_unions,resulting_classes,largest_class,largest_class_ratio,median_class_size,p95_class_size,accepted_merge_rate,rejected_merge_rate,objects_with_empty_frame,empty_frame_witnesses,empty_frame_witness_share,empty_frame_candidates_only,empty_frame_candidate_share,empty_frame_candidates_any,empty_frame_accepted_only,empty_frame_accepted_share,empty_frame_accepted_any,mixed_candidates,largest_class_complete_sentence_members,largest_class_single_token_members,largest_class_num_members,common_objects_prev,changed_pairs_prev,changed_pair_share_prev,runtime_seconds,peak_rss_mb
clean_wiki_body,clean_body_keep_punct,40000,40001,2393,5,1076,60586,23706,23657,322,15516,7819,40,60224,126,0.002080,1,1,0.013611,0.655874,214,22791,0.961402,22751,0.961703,22791,165,0.512422,166,42,124,36,12,0,0,0.000000,8.483984,47.777344
clean_wiki_body,clean_body_keep_punct,80000,80002,4294,10,1696,117470,58400,58333,502,34745,23086,49,116919,217,0.001847,1,1,0.008606,0.595632,338,56953,0.975223,56898,0.975400,56953,278,0.553785,280,58,214,45,20,60586,1654,0.000001,55.788567,114.660156
