# SCF v2.3.1 accepted merges by witness frame type (fineweb, v23d)

# scale 200000

## empty_frame accepted merges (first 20 in candidate order)
<num> <=> <num> and dec | L=[<num>] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> or email firstname | L=[com] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary
<num> <=> guardian uk nov | L=[the] R=[] | induced_unions=0 | pair_witnesses=1 | witness_types=right_boundary

## internal_frame accepted merges (first 20 in candidate order)
of <=> as well as | L=[<num>] R=[fig] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
of <=> are shown in | L=[<num>] R=[fig] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> yr fixed | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> yr refi | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> of revenue to | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> net margin and | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> how google made | L=[<num> <num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> luke <num> | L=[<num>] R=[<num> <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> luke <num> <num> | L=[<num> <num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> here and | L=[buzz words of] R=[here] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> <num> part two | L=[buzz words of] R=[here] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
<num> <=> and conference matches | L=[<num>] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
to <=> to the determination | L=[thereafter processing proceeds] R=[step s <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
step <=> the determination step | L=[thereafter processing proceeds to] R=[s <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
shown <=> it is indicated | L=[as] R=[in fig] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
shown <=> it is shown | L=[as] R=[in fig] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
percent <=> when she touched | L=[<num>] R=[in <num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
copyright © <num> <=> pizza rustica http | L=[jpg] R=[stickygooeycreamychewy] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
state would need <=> insertion loss was | L=[the] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
state would need <=> analyser contains a | L=[the] R=[<num>] | induced_unions=0 | pair_witnesses=1 | witness_types=internal_frame
