# SCF v2.3.1 accepted merges grouped by the boundary type of ALL their witnesses -- corpus v23_baseline_condition_d (v23_condition_d)
# A merge listed under empty_frame was triggered by (eps,eps) alone.

# scale 40000

## empty_frame (58 accepted merges)
to <=> conifer forest summer | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> bare soil | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> green grass | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> desert sand | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> new concrete | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> ocean ice | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> fresh snow | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> w m− | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> to the <num> | L=[according] R=[u] | witness_types=internal_frame | induced_unions=0
to <=> in spanish and | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> <num> <num> <num> | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> were undocumented <num> | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> hispanic white | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> asian | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> and scots irish | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=0
to <=> mormon | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2
to <=> buddhist and | L=[<num>] R=[<num>] | witness_types=internal_frame | induced_unions=2

## mixed (0 accepted merges)
